status_key,status_value
trial_project_status,created
ibr_branch_mapping_status,pass
local_breaker_boundary_status,not_constructed
breaker_state_semantics_status,not_constructed
output_channel_status,not_constructed
control_path_isolation_status,not_rechecked_beyond_sha_delta_audit
main_project_integrity_status,main_project_nonfunctional_metadata_difference
dynamic_behavior_status,unavailable
second_source_event_status,not_constructed
dual_source_collector_status,not_constructed
functional_equivalence_status,supported
trial_resumption_eligibility,eligible_for_separate_task
breaker_construction_resumed_in_audit,false
